assignmentId: 2Z8SNTL0XULRU74YMSDMJX5GY731NP
calibration_task-17-time-of-keypress: 1298898000346
calibration_task-17-time-of-showCharacters: 1298898000166
calibration_task-18-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230802429,"which":110}
calibration_task-18-keypress_before_show_prompt_count: 0
calibration_task-18-reaction-time: 269
calibration_task-18-time-of-doTask: 1298898001350
calibration_task-18-time-of-keypress: 1298898002429
calibration_task-18-time-of-showCharacters: 1298898002160
calibration_task-19-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230815171,"which":110}
calibration_task-19-keypress_before_show_prompt_count: 9
calibration_task-19-reaction-time: 274
calibration_task-19-time-of-doTask: 1298898003431
calibration_task-19-time-of-keypress: 1298898015171
calibration_task-19-time-of-showCharacters: 1298898014897
calibration_task-2-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230756147,"which":110}
calibration_task-2-keypress_before_show_prompt_count: 0
calibration_task-2-reaction-time: 254
calibration_task-2-time-of-doTask: 1298897954764
calibration_task-2-time-of-keypress: 1298897956147
calibration_task-2-time-of-showCharacters: 1298897955893
calibration_task-20-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230817453,"which":110}
calibration_task-20-keypress_before_show_prompt_count: 0
calibration_task-20-reaction-time: 220
calibration_task-20-time-of-doTask: 1298898016173
calibration_task-20-time-of-keypress: 1298898017453
calibration_task-20-time-of-showCharacters: 1298898017233
calibration_task-21-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230820850,"which":110}
calibration_task-21-keypress_before_show_prompt_count: 0
calibration_task-21-reaction-time: 808
calibration_task-21-time-of-doTask: 1298898018454
calibration_task-21-time-of-keypress: 1298898020850
calibration_task-21-time-of-showCharacters: 1298898020042
calibration_task-22-keypress: {"altKey":false,"charCode":104,"ctrlKey":false,"keyCode":104,"metaKey":false,"shiftKey":false,"timeStamp":1301230823638,"which":104}
calibration_task-22-keypress_before_show_prompt_count: 0
calibration_task-22-reaction-time: 234
calibration_task-22-time-of-doTask: 1298898021851
calibration_task-22-time-of-keypress: 1298898023638
calibration_task-22-time-of-showCharacters: 1298898023404
calibration_task-23-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230826218,"which":110}
calibration_task-23-keypress_before_show_prompt_count: 0
calibration_task-23-reaction-time: 242
calibration_task-23-time-of-doTask: 1298898024639
calibration_task-23-time-of-keypress: 1298898026218
calibration_task-23-time-of-showCharacters: 1298898025976
calibration_task-24-keypress: {"altKey":false,"charCode":106,"ctrlKey":false,"keyCode":106,"metaKey":false,"shiftKey":false,"timeStamp":1301230829611,"which":106}
calibration_task-24-keypress_before_show_prompt_count: 0
calibration_task-24-reaction-time: 1785
calibration_task-24-time-of-doTask: 1298898027220
calibration_task-24-time-of-keypress: 1298898029611
calibration_task-24-time-of-showCharacters: 1298898027826
calibration_task-3-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230758105,"which":110}
calibration_task-3-keypress_before_show_prompt_count: 0
calibration_task-3-reaction-time: 309
calibration_task-3-time-of-doTask: 1298897957150
calibration_task-3-time-of-keypress: 1298897958105
calibration_task-3-time-of-showCharacters: 1298897957796
calibration_task-4-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230760122,"which":110}
calibration_task-4-keypress_before_show_prompt_count: 0
calibration_task-4-reaction-time: 271
calibration_task-4-time-of-doTask: 1298897959108
calibration_task-4-time-of-keypress: 1298897960122
calibration_task-4-time-of-showCharacters: 1298897959851
calibration_task-5-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230762101,"which":110}
calibration_task-5-keypress_before_show_prompt_count: 0
calibration_task-5-reaction-time: 200
calibration_task-5-time-of-doTask: 1298897961124
calibration_task-5-time-of-keypress: 1298897962101
calibration_task-5-time-of-showCharacters: 1298897961901
calibration_task-6-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230770931,"which":103}
calibration_task-6-keypress_before_show_prompt_count: 1
calibration_task-6-reaction-time: 480
calibration_task-6-time-of-doTask: 1298897963103
calibration_task-6-time-of-keypress: 1298897970931
calibration_task-6-time-of-showCharacters: 1298897970451
calibration_task-7-keypress: {"altKey":false,"charCode":110,"ctrlKey":false,"keyCode":110,"metaKey":false,"shiftKey":false,"timeStamp":1301230773446,"which":110}
calibration_task-7-keypress_before_show_prompt_count: 0
calibration_task-7-reaction-time: 414
calibration_task-7-time-of-doTask: 1298897971934
calibration_task-7-time-of-keypress: 1298897973446
calibration_task-7-time-of-showCharacters: 1298897973032
calibration_task-8-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230775657,"which":103}
calibration_task-8-keypress_before_show_prompt_count: 0
calibration_task-8-reaction-time: 531
calibration_task-8-time-of-doTask: 1298897974454
calibration_task-8-time-of-keypress: 1298897975658
calibration_task-8-time-of-showCharacters: 1298897975127
calibration_task-9-keypress: {"altKey":false,"charCode":103,"ctrlKey":false,"keyCode":103,"metaKey":false,"shiftKey":false,"timeStamp":1301230777654,"which":103}
calibration_task-9-keypress_before_show_prompt_count: 0
calibration_task-9-reaction-time: 218
calibration_task-9-time-of-doTask: 1298897976660
calibration_task-9-time-of-keypress: 1298897977654
calibration_task-9-time-of-showCharacters: 1298897977436
duration: 0y 0d 0h 20m 59s 50ms
feedback: that was really exciting.
form-load-time: 1298897924654
form-submit-time: 1298899188620
jQuery.browser.safari: true
jQuery.browser.version: 534.16
jQuery.browser.webkit: true
navigator.appCodeName: ['Netscape', 'Mozilla']
navigator.appVersion: 5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16
navigator.vendor: Google Inc.
screenWidth: ['1024', '768', '1024', '738', '967', '2400']
submit: Submit
task-0-are-same: false
task-0-character-0-alphabet: myanmar
task-0-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/almjsyxta6vn31r0a30.png
task-0-character-0-character-number: 31
task-0-character-0-id: aljsxt6v0a30
task-0-character-1-alphabet: sylheti
task-0-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3s0xyq7l55h17n5spo8.png
task-0-character-1-character-number: 17
task-0-character-1-id: a30xq7555spo8
task-0-is-correct-answer: true
task-0-keypress: {"altKey":false,"charCode":59,"ctrlKey":false,"keyCode":59,"metaKey":false,"shiftKey":false,"timeStamp":1301230849414,"which":59}
task-0-keypress_before_show_prompt_count: 0
task-0-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-0-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise0.png
task-0-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-0-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-0-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-0-reaction-time: 2669
task-0-time-of-doTask: 1298898045189
task-0-time-of-keypress: 1298898049414
task-0-time-of-showCharacters: 1298898046745
task-1-are-same: true
task-1-character-0-alphabet: sylheti
task-1-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1sfoyggltlh17wgo7n4.png
task-1-character-0-character-number: 17
task-1-character-0-id: a1foggtlgo7n4
task-1-character-1-alphabet: sylheti
task-1-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3sr9yq9lwqh171m1nyz.png
task-1-character-1-character-number: 17
task-1-character-1-id: a3r9q9wqm1nyz
task-1-is-correct-answer: true
task-1-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-1-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-1-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-1-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-1-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-1-reaction-time: -1
task-1-time-of-doTask: 1298898050421
task-1-time-of-showCharacters: 1298898052000
task-10-are-same: true
task-10-character-0-alphabet: tagalog
task-10-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1teharxgjpa10klsq0r.png
task-10-character-0-character-number: 10
task-10-character-0-id: a1ehrxjplsq0r
task-10-character-1-alphabet: tagalog
task-10-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ts3anjgxha10cehcip.png
task-10-character-1-character-number: 10
task-10-character-1-id: a1s3njxhehcip
task-10-is-correct-answer: false
task-10-keypress: {"altKey":false,"charCode":46,"ctrlKey":false,"keyCode":46,"metaKey":false,"shiftKey":false,"timeStamp":1301230896063,"which":46}
task-10-keypress_before_show_prompt_count: 0
task-10-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-10-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-10-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise0.png
task-10-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-10-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-10-reaction-time: 1486
task-10-time-of-doTask: 1298898093292
task-10-time-of-keypress: 1298898096063
task-10-time-of-showCharacters: 1298898094577
task-100-are-same: true
task-100-character-0-alphabet: tagalog
task-100-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayt0bajcggya022dhix.png
task-100-character-0-character-number: 02
task-100-character-0-id: ay0bjcgydhix
task-100-character-1-alphabet: tagalog
task-100-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ta2a5pgyfa02ooa9ge.png
task-100-character-1-character-number: 02
task-100-character-1-id: a1a25pyfoa9ge
task-100-is-correct-answer: true
task-100-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-100-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-100-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-100-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-100-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-100-reaction-time: -1
task-100-time-of-doTask: 1298898585074
task-100-time-of-showCharacters: 1298898586481
task-101-are-same: false
task-101-character-0-alphabet: korean
task-101-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3kdfoh6rdpe29di11ip.png
task-101-character-0-character-number: 29
task-101-character-0-id: a3dfh6dpi11ip
task-101-character-1-alphabet: korean
task-101-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1koho82rlwe39dr5hbg.png
task-101-character-1-character-number: 39
task-101-character-1-id: a1oh82lwr5hbg
task-101-is-correct-answer: true
task-101-keypress: {"altKey":false,"charCode":48,"ctrlKey":false,"keyCode":48,"metaKey":false,"shiftKey":false,"timeStamp":1301231394240,"which":48}
task-101-keypress_before_show_prompt_count: 0
task-101-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-101-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-101-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-101-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise0.png
task-101-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-101-reaction-time: 1241
task-101-time-of-doTask: 1298898591494
task-101-time-of-keypress: 1298898594240
task-101-time-of-showCharacters: 1298898592999
task-102-are-same: true
task-102-character-0-alphabet: myanmar
task-102-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ms3ynjaxhn01cehcip.png
task-102-character-0-character-number: 01
task-102-character-0-id: a1s3njxhehcip
task-102-character-1-alphabet: myanmar
task-102-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mclyejahbn012x9yyn.png
task-102-character-1-character-number: 01
task-102-character-1-id: a1clejhbx9yyn
task-102-is-correct-answer: true
task-102-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-102-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-102-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-102-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-102-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-102-reaction-time: -1
task-102-time-of-doTask: 1298898595250
task-102-time-of-showCharacters: 1298898596231
task-103-are-same: false
task-103-character-0-alphabet: korean
task-103-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2knmo1qrzue28fh14ls.png
task-103-character-0-character-number: 28
task-103-character-0-id: a2nm1qzuh14ls
task-103-character-1-alphabet: atemayar
task-103-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1az5t9eeb5m068sfxpy.png
task-103-character-1-character-number: 06
task-103-character-1-id: a1z59eb5sfxpy
task-103-is-correct-answer: true
task-103-keypress: {"altKey":false,"charCode":49,"ctrlKey":false,"keyCode":49,"metaKey":false,"shiftKey":false,"timeStamp":1301231402785,"which":49}
task-103-keypress_before_show_prompt_count: 0
task-103-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-103-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-103-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-103-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-103-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-103-reaction-time: 802
task-103-time-of-doTask: 1298898601243
task-103-time-of-keypress: 1298898602786
task-103-time-of-showCharacters: 1298898601984
task-104-are-same: true
task-104-character-0-alphabet: myanmar
task-104-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mqayt9aqkn256qumi2.png
task-104-character-0-character-number: 25
task-104-character-0-id: a3qat9qkqumi2
task-104-character-1-alphabet: myanmar
task-104-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mpkyuna3on25znkucn.png
task-104-character-1-character-number: 25
task-104-character-1-id: a3pkun3onkucn
task-104-is-correct-answer: true
task-104-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-104-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-104-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-104-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-104-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-104-reaction-time: -1
task-104-time-of-doTask: 1298898603798
task-104-time-of-showCharacters: 1298898604661
task-105-are-same: false
task-105-character-0-alphabet: tagalog
task-105-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ajtf6a6jgwea067n7bx.png
task-105-character-0-character-number: 06
task-105-character-0-id: ajf66jwen7bx
task-105-character-1-alphabet: atemayar
task-105-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/azadwt60e62m061ia38.png
task-105-character-1-character-number: 06
task-105-character-1-id: azdw6062ia38
task-105-is-correct-answer: false
task-105-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-105-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-105-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-105-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-105-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-105-reaction-time: -1
task-105-time-of-doTask: 1298898609672
task-105-time-of-showCharacters: 1298898610730
task-106-are-same: true
task-106-character-0-alphabet: tagalog
task-106-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aet0iabwgt7a05easth.png
task-106-character-0-character-number: 05
task-106-character-0-id: ae0ibwt7asth
task-106-character-1-alphabet: tagalog
task-106-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1tj8as7ggia05uyto4a.png
task-106-character-1-character-number: 05
task-106-character-1-id: a1j8s7giyto4a
task-106-is-correct-answer: true
task-106-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-106-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-106-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-106-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-106-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise1.png
task-106-reaction-time: -1
task-106-time-of-doTask: 1298898615743
task-106-time-of-showCharacters: 1298898617018
task-107-are-same: false
task-107-character-0-alphabet: tagalog
task-107-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/altjsaxtg6va02r0a30.png
task-107-character-0-character-number: 02
task-107-character-0-id: aljsxt6v0a30
task-107-character-1-alphabet: korean
task-107-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ks3onjrxhe28cehcip.png
task-107-character-1-character-number: 28
task-107-character-1-id: a1s3njxhehcip
task-107-is-correct-answer: true
task-107-keypress: {"altKey":false,"charCode":49,"ctrlKey":false,"keyCode":49,"metaKey":false,"shiftKey":false,"timeStamp":1301231424220,"which":49}
task-107-keypress_before_show_prompt_count: 0
task-107-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-107-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-107-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-107-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-107-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-107-reaction-time: 1324
task-107-time-of-doTask: 1298898622029
task-107-time-of-keypress: 1298898624220
task-107-time-of-showCharacters: 1298898622896
task-108-are-same: true
task-108-character-0-alphabet: myanmar
task-108-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mumyhcarjn31j9zfdp.png
task-108-character-0-character-number: 31
task-108-character-0-id: a1umhcrj9zfdp
task-108-character-1-alphabet: myanmar
task-108-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1maeyguanfn3116e081.png
task-108-character-1-character-number: 31
task-108-character-1-id: a1aegunf6e081
task-108-is-correct-answer: true
task-108-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-108-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-108-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-108-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-108-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-108-reaction-time: -1
task-108-time-of-doTask: 1298898625231
task-108-time-of-showCharacters: 1298898626180
task-109-are-same: false
task-109-character-0-alphabet: myanmar
task-109-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ajmf6y6jawen017n7bx.png
task-109-character-0-character-number: 01
task-109-character-0-id: ajf66jwen7bx
task-109-character-1-alphabet: tagalog
task-109-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ta2a5pgyfa05ooa9ge.png
task-109-character-1-character-number: 05
task-109-character-1-id: a1a25pyfoa9ge
task-109-is-correct-answer: true
task-109-keypress: {"altKey":false,"charCode":49,"ctrlKey":false,"keyCode":49,"metaKey":false,"shiftKey":false,"timeStamp":1301231433300,"which":49}
task-109-keypress_before_show_prompt_count: 0
task-109-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-109-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-109-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-109-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-109-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-109-reaction-time: 879
task-109-time-of-doTask: 1298898631192
task-109-time-of-keypress: 1298898633300
task-109-time-of-showCharacters: 1298898632421
task-11-are-same: true
task-11-character-0-alphabet: myanmar
task-11-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a6mfjybvauzn01yrhm6.png
task-11-character-0-character-number: 01
task-11-character-0-id: a6fjbvuzrhm6
task-11-character-1-alphabet: myanmar
task-11-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ammynypla5xn01zzw6q.png
task-11-character-1-character-number: 01
task-11-character-1-id: amynpl5xzw6q
task-11-is-correct-answer: false
task-11-keypress: {"altKey":false,"charCode":46,"ctrlKey":false,"keyCode":46,"metaKey":false,"shiftKey":false,"timeStamp":1301230899492,"which":46}
task-11-keypress_before_show_prompt_count: 0
task-11-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-11-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise0.png
task-11-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-11-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-11-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-11-reaction-time: 1308
task-11-time-of-doTask: 1298898097072
task-11-time-of-keypress: 1298898099492
task-11-time-of-showCharacters: 1298898098184
task-110-are-same: false
task-110-character-0-alphabet: myanmar
task-110-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mqayt9aqkn316qumi2.png
task-110-character-0-character-number: 31
task-110-character-0-id: a3qat9qkqumi2
task-110-character-1-alphabet: inuktitut
task-110-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3inono9uk3k01cy1yu5.png
task-110-character-1-character-number: 01
task-110-character-1-id: a3noo9k3y1yu5
task-110-is-correct-answer: true
