accepted-strokes/angelic/angelic_07_a1v73zozm07asa.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (112.11538461538461, 102.5).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/futurama/futurama_24_a1tzgtdwvag2p7.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.0, 97.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/katakana/katakana_02_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (98.69047619047619, 110.5952380952381).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_03_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (93.928571428571416, 108.6904761904762).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_04_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (112.02380952380952, 68.69047619047619).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_10_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (99.642857142857139, 105.83333333333334).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_13_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.21428571428571, 87.738095238095241).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_16_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.30952380952381, 102.02380952380952).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_21_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.35714285714285, 95.357142857142861).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_23_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (98.69047619047619, 114.4047619047619).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_28_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (107.26190476190476, 74.404761904761898).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_36_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.30952380952381, 95.357142857142861).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_40_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (111.07142857142857, 82.976190476190482).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_44_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (113.92857142857142, 99.166666666666657).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/katakana/katakana_45_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.21428571428571, 90.595238095238102).  Scale factor is {'y': 0.95238095238095233, 'x': 0.95238095238095233}.
accepted-strokes/atemayar/atemayar_24_a1yovlluyv1c9h.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (111.0, 97.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_02_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.5, 114.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_14_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (70.5, 117.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_17_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.5, 106.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_22_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (84.5, 107.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_28_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (86.5, 106.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_45_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.5, 94.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/oriya/oriya_46_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (79.5, 109.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/hiragana/hiragana_04_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.41262135922331, 91.334951456310677).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_06_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (90.849514563106794, 108.81067961165049).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_07_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (116.09223300970874, 94.247572815533985).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_09_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.674757281553397, 105.89805825242718).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_24_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.29611650485437, 98.131067961165044).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_26_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.38349514563107, 94.247572815533985).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_27_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.41262135922331, 87.451456310679603).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_29_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.26699029126213, 57.354368932038831).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_30_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.41262135922331, 97.160194174757279).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_33_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (99.587378640776706, 105.89805825242718).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_34_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.26699029126213, 85.509708737864074).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_41_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (91.820388349514559, 106.86893203883496).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_45_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.3252427184466, 95.21844660194175).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/hiragana/hiragana_46_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.26699029126213, 95.21844660194175).  Scale factor is {'y': 0.970873786407767, 'x': 0.970873786407767}.
accepted-strokes/korean/korean_02_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (89.5, 109.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_04_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (84.5, 105.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_06_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (88.5, 112.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_08_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (90.5, 108.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_09_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.5, 95.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_10_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (104.5, 105.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_14_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.5, 92.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_15_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (93.5, 106.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_16_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.5, 104.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_19_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.5, 83.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_20_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.5, 107.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_24_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (113.5, 66.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_26_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (112.5, 75.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_30_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.5, 77.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_32_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.5, 76.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_34_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.5, 82.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_35_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (113.5, 76.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_36_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.5, 97.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_39_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.5, 82.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/korean/korean_40_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.5, 95.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/gurmukhi/gurmukhi_04_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (107.0, 83.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/gurmukhi/gurmukhi_06_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.0, 91.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/gurmukhi/gurmukhi_31_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (107.0, 76.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/gurmukhi/gurmukhi_40_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.0, 113.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/gurmukhi/gurmukhi_41_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (100.0, 106.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/grantha/grantha_10_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.84782608695652, 68.310276679841891).  Scale factor is {'y': 0.39525691699604742, 'x': 0.39525691699604742}.
accepted-strokes/grantha/grantha_30_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.84782608695652, 74.239130434782595).  Scale factor is {'y': 0.39525691699604742, 'x': 0.39525691699604742}.
accepted-strokes/old_cyrillic/old_cyrillic_13_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (86.5, 108.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/old_cyrillic/old_cyrillic_39_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (81.5, 110.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/glagolitic/glagolitic_42_alvg2ey5lczvx.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.39855072463769, 68.44202898550725).  Scale factor is {'y': 0.72463768115942029, 'x': 0.72463768115942029}.
accepted-strokes/tengwar/tengwar_19_amynpl5xzzw6q.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.0, 78.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/tengwar/tengwar_21_amynpl5xzzw6q.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (108.0, 89.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/tengwar/tengwar_22_amynpl5xzzw6q.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.0, 85.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/greek/greek_02_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (67.5, 111.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/greek/greek_06_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (79.5, 111.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/greek/greek_11_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (90.5, 111.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/greek/greek_14_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (74.5, 118.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/greek/greek_23_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (74.5, 108.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/armenian/armenian_13_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.0, 110.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/armenian/armenian_15_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (86.0, 111.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
accepted-strokes/armenian/armenian_35_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (91.0, 107.5).  Scale factor is {'y': 1.0, 'x': 1.0}.
None: Image size {'y': 100, 'x': 100} too small for stroke size (101.0, 62.0).  Scale factor is {'y': 1, 'x': 1}.
None: Image size {'y': 100, 'x': 100} too small for stroke size (86.0, 103.0).  Scale factor is {'y': 1, 'x': 1}.
None: Image size {'y': 100, 'x': 100} too small for stroke size (94.0, 101.0).  Scale factor is {'y': 1, 'x': 1}.
None: Image size {'y': 100, 'x': 100} too small for stroke size (94.0, 101.0).  Scale factor is {'y': 1, 'x': 1}.
None: Image size {'y': 100, 'x': 100} too small for stroke size (94.0, 101.0).  Scale factor is {'y': 1, 'x': 1}.
None: Image size {'y': 105, 'x': 105} too small for stroke size (106, 75).  Scale factor is {'y': 1, 'x': 1}.
